simulation_id,material,time,x,temperature
Simulation_000001,Aluminium 6061,0.0,0.0005742211758763786,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0017226635276291358,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0028711058793818934,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.00401954823113465,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0051679905828874075,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.006316432934640165,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.007464875286392922,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.008613317638145681,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.009761759989898438,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.010910202341651194,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.012058644693403953,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.01320708704515671,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.014355529396909466,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.015503971748662224,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.016652414100414983,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.017800856452167738,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.018949298803920496,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.020097741155673254,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.02124618350742601,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.022394625859178768,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.023543068210931526,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.02469151056268428,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.02583995291443704,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.026988395266189798,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.028136837617942553,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.02928527996969531,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.03043372232144807,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.031582164673200824,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.03273060702495358,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.033879049376706334,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.03502749172845909,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.03617593408021185,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.03732437643196461,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.03847281878371737,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.039621261135470126,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.040769703487222884,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.041918145838975636,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.043066588190728394,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.04421503054248115,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.04536347289423391,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.04651191524598667,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.04766035759773943,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.04880879994949218,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.04995724230124494,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.051105684652997696,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.052254127004750454,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.05340256935650321,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.05455101170825597,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.05569945406000872,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.05684789641176148,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.05799633876351424,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.059144781115267,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.060293223467019756,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.061441665818772515,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.06259010817052528,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.06373855052227803,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0648869928740308,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.06603543522578355,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0671838775775363,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.06833231992928906,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.06948076228104182,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07062920463279458,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07177764698454733,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0729260893363001,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07407453168805285,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0752229740398056,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07637141639155837,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07751985874331112,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07866830109506388,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.07981674344681663,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0809651857985694,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.08211362815032215,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0832620705020749,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.08441051285382767,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.08555895520558042,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.08670739755733319,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.08785583990908594,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.08900428226083869,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09015272461259145,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0913011669643442,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09244960931609697,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09359805166784972,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09474649401960249,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09589493637135524,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09704337872310799,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.09819182107486076,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.0993402634266135,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10048870577836627,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10163714813011902,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10278559048187179,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10393403283362454,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10508247518537729,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10623091753713006,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10737935988888281,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10852780224063557,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.10967624459238833,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11082468694414108,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11197312929589384,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.1131215716476466,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11427001399939936,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11541845635115211,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11656689870290488,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11771534105465763,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.11886378340641038,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12001222575816314,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.1211606681099159,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12230911046166866,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12345755281342141,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12460599516517418,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12575443751692691,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12690287986867968,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.12805132222043245,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.1291997645721852,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13034820692393795,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.1314966492756907,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13264509162744348,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13379353397919622,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13494197633094898,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13609041868270175,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.1372388610344545,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13838730338620725,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.13953574573796002,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14068418808971278,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14183263044146552,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14298107279321828,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14412951514497105,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14527795749672381,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14642639984847655,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14757484220022932,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14872328455198208,366.6631155574883
Simulation_000001,Aluminium 6061,0.0,0.14987172690373482,366.6631155574883
