simulation_id,material,time,x,temperature
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.008566642995176016,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.025699928985528045,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.04283321497588008,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.05996650096623211,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.07709978695658413,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.09423307294693617,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.11136635893728819,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.12849964492764024,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.14563293091799226,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.16276621690834428,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.17989950289869633,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.19703278888904835,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.21416607487940037,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.23129936086975242,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.24843264686010444,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.2655659328504565,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.2826992188408085,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.29983250483116053,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.31696579082151255,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.3340990768118646,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.35123236280221665,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.36836564879256867,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.3854989347829207,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.4026322207732727,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.41976550676362473,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.4368987927539768,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.4540320787443288,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.47116536473468085,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.48829865072503287,339.6425198771078
Simulation_000001,Titanium Ti-6Al-4V,0.0,0.5054319367153849,339.6425198771078
