x_m,y_m,time_s,temperature_K
0.1111111111111111,0.7777777777777777,22.22222222222222,371.0289798851221
0.2222222222222222,0.7777777777777777,22.22222222222222,362.2432381846462
0.3333333333333333,0.7777777777777777,22.22222222222222,361.3199487910616
0.4444444444444444,0.7777777777777777,22.22222222222222,359.49892088015946
0.5555555555555556,0.7777777777777777,22.22222222222222,353.2481476016255
0.6666666666666666,0.7777777777777777,22.22222222222222,342.8855877059994
0.7777777777777777,0.7777777777777777,22.22222222222222,329.9286661430017
0.8888888888888888,0.7777777777777777,22.22222222222222,314.1074997895758
1.0,0.7777777777777777,22.22222222222222,300.0
0.0,0.8888888888888888,22.22222222222222,400.0
0.1111111111111111,0.8888888888888888,22.22222222222222,350.3132096792427
0.2222222222222222,0.8888888888888888,22.22222222222222,336.38209476597945
0.3333333333333333,0.8888888888888888,22.22222222222222,333.2599725139112
0.4444444444444444,0.8888888888888888,22.22222222222222,331.55493751395375
0.5555555555555556,0.8888888888888888,22.22222222222222,328.08090631430673
0.6666666666666666,0.8888888888888888,22.22222222222222,322.59996095913044
0.7777777777777777,0.8888888888888888,22.22222222222222,315.7783356741813
0.8888888888888888,0.8888888888888888,22.22222222222222,307.4549784777405
1.0,0.8888888888888888,22.22222222222222,300.0
0.0,1.0,22.22222222222222,400.0
0.1111111111111111,1.0,22.22222222222222,300.0
0.2222222222222222,1.0,22.22222222222222,300.0
0.3333333333333333,1.0,22.22222222222222,300.0
0.4444444444444444,1.0,22.22222222222222,300.0
0.5555555555555556,1.0,22.22222222222222,300.0
0.6666666666666666,1.0,22.22222222222222,300.0
0.7777777777777777,1.0,22.22222222222222,300.0
0.8888888888888888,1.0,22.22222222222222,300.0
1.0,1.0,22.22222222222222,300.0
0.0,0.0,33.33333333333333,400.0
0.1111111111111111,0.0,33.33333333333333,400.0
0.2222222222222222,0.0,33.33333333333333,400.0
0.3333333333333333,0.0,33.33333333333333,400.0
0.4444444444444444,0.0,33.33333333333333,400.0
0.5555555555555556,0.0,33.33333333333333,400.0
0.6666666666666666,0.0,33.33333333333333,400.0
0.7777777777777777,0.0,33.33333333333333,400.0
0.8888888888888888,0.0,33.33333333333333,400.0
1.0,0.0,33.33333333333333,300.0
0.0,0.1111111111111111,33.33333333333333,400.0
0.1111111111111111,0.1111111111111111,33.33333333333333,396.2243309712796
0.2222222222222222,0.1111111111111111,33.33333333333333,394.51600516737096
0.3333333333333333,0.1111111111111111,33.33333333333333,393.31123076824935
0.4444444444444444,0.1111111111111111,33.33333333333333,391.3047603771694
0.5555555555555556,0.1111111111111111,33.33333333333333,387.7455397004579
0.6666666666666666,0.1111111111111111,33.33333333333333,381.95696249479687
0.7777777777777777,0.1111111111111111,33.33333333333333,371.91112909753775
0.8888888888888888,0.1111111111111111,33.33333333333333,351.1812986434677
1.0,0.1111111111111111,33.33333333333333,300.0
0.0,0.2222222222222222,33.33333333333333,400.0
0.1111111111111111,0.2222222222222222,33.33333333333333,394.1876507706459
0.2222222222222222,0.2222222222222222,33.33333333333333,391.48342612220125
0.3333333333333333,0.2222222222222222,33.33333333333333,389.418495817837
0.4444444444444444,0.2222222222222222,33.33333333333333,385.7817467210052
0.5555555555555556,0.2222222222222222,33.33333333333333,379.4049639097581
0.6666666666666666,0.2222222222222222,33.33333333333333,369.6582337241263
0.7777777777777777,0.2222222222222222,33.33333333333333,355.1026086425694
0.8888888888888888,0.2222222222222222,33.33333333333333,332.8011638480811
1.0,0.2222222222222222,33.33333333333333,300.0
0.0,0.3333333333333333,33.33333333333333,400.0
0.1111111111111111,0.3333333333333333,33.33333333333333,393.116064842326
0.2222222222222222,0.3333333333333333,33.33333333333333,389.87824269310806
0.3333333333333333,0.3333333333333333,33.33333333333333,387.23525831535034
0.4444444444444444,0.3333333333333333,33.33333333333333,382.44353362562737
0.5555555555555556,0.3333333333333333,33.33333333333333,374.19872085647114
0.6666666666666666,0.3333333333333333,33.33333333333333,362.21511269312725
0.7777777777777777,0.3333333333333333,33.33333333333333,345.99068242456076
0.8888888888888888,0.3333333333333333,33.33333333333333,324.9217423705319
1.0,0.3333333333333333,33.33333333333333,300.0
0.0,0.4444444444444444,33.33333333333333,400.0
0.1111111111111111,0.4444444444444444,33.33333333333333,392.76179948447077
0.2222222222222222,0.4444444444444444,33.33333333333333,389.0099495398649
0.3333333333333333,0.4444444444444444,33.33333333333333,385.795986201412
0.4444444444444444,0.4444444444444444,33.33333333333333,380.21168995296557
0.5555555555555556,0.4444444444444444,33.33333333333333,370.89665613869744
0.6666666666666666,0.4444444444444444,33.33333333333333,357.7574577730254
0.7777777777777777,0.4444444444444444,33.33333333333333,340.8467647320615
0.8888888888888888,0.4444444444444444,33.33333333333333,320.9136869647985
1.0,0.4444444444444444,33.33333333333333,300.0
0.0,0.5555555555555556,33.33333333333333,400.0
0.1111111111111111,0.5555555555555556,33.33333333333333,390.90903761946254
0.2222222222222222,0.5555555555555556,33.33333333333333,385.5877821516241
0.3333333333333333,0.5555555555555556,33.33333333333333,381.3669324964602
0.4444444444444444,0.5555555555555556,33.33333333333333,375.23749318577177
0.5555555555555556,0.5555555555555556,33.33333333333333,365.7009054366402
0.6666666666666666,0.5555555555555556,33.33333333333333,352.63342692011264
0.7777777777777777,0.5555555555555556,33.33333333333333,336.27282570881164
0.8888888888888888,0.5555555555555556,33.33333333333333,317.93857729990077
1.0,0.5555555555555556,33.33333333333333,300.0
0.0,0.6666666666666666,33.33333333333333,400.0
0.1111111111111111,0.6666666666666666,33.33333333333333,385.76363817004176
0.2222222222222222,0.6666666666666666,33.33333333333333,377.0964173942069
0.3333333333333333,0.6666666666666666,33.33333333333333,371.294089770808
0.4444444444444444,0.6666666666666666,33.33333333333333,364.9147033853666
0.5555555555555556,0.6666666666666666,33.33333333333333,356.0984036175077
0.6666666666666666,0.6666666666666666,33.33333333333333,344.47542758308055
0.7777777777777777,0.6666666666666666,33.33333333333333,330.2118331750435
0.8888888888888888,0.6666666666666666,33.33333333333333,314.64167707541174
1.0,0.6666666666666666,33.33333333333333,300.0
0.0,0.7777777777777777,33.33333333333333,400.0
0.1111111111111111,0.7777777777777777,33.33333333333333,375.0039487667338
0.2222222222222222,0.7777777777777777,33.33333333333333,361.48221304630965
0.3333333333333333,0.7777777777777777,33.33333333333333,354.1832892515497
0.4444444444444444,0.7777777777777777,33.33333333333333,348.25645293787056
0.5555555555555556,0.7777777777777777,33.33333333333333,341.25633618486023
0.6666666666666666,0.7777777777777777,33.33333333333333,332.47412471453424
0.7777777777777777,0.7777777777777777,33.33333333333333,321.8877923354219
0.8888888888888888,0.7777777777777777,33.33333333333333,310.49248427934265
1.0,0.7777777777777777,33.33333333333333,300.0
0.0,0.8888888888888888,33.33333333333333,400.0
0.1111111111111111,0.8888888888888888,33.33333333333333,352.87364326007116
0.2222222222222222,0.8888888888888888,33.33333333333333,336.52753532257464
0.3333333333333333,0.8888888888888888,33.33333333333333,329.98190353780177
0.4444444444444444,0.8888888888888888,33.33333333333333,325.9948638230586
