x_m,time_s,temperature_K
0.0,0.0,500.0
0.041666666666666664,0.0,300.0
0.08333333333333333,0.0,300.0
0.125,0.0,300.0
0.16666666666666666,0.0,300.0
0.20833333333333331,0.0,300.0
0.25,0.0,300.0
0.29166666666666663,0.0,300.0
0.3333333333333333,0.0,300.0
0.375,0.0,300.0
0.41666666666666663,0.0,300.0
0.4583333333333333,0.0,300.0
0.5,0.0,300.0
0.5416666666666666,0.0,300.0
0.5833333333333333,0.0,300.0
0.625,0.0,300.0
0.6666666666666666,0.0,300.0
0.7083333333333333,0.0,300.0
0.75,0.0,300.0
0.7916666666666666,0.0,300.0
0.8333333333333333,0.0,300.0
0.875,0.0,300.0
0.9166666666666666,0.0,300.0
0.9583333333333333,0.0,300.0
1.0,0.0,300.0
0.0,2.5641025641025643,500.0
0.041666666666666664,2.5641025641025643,301.1892049908446
0.08333333333333333,2.5641025641025643,300.00353552127564
0.125,2.5641025641025643,300.0000105111488
0.16666666666666666,2.5641025641025643,300.0000000312498
0.20833333333333331,2.5641025641025643,300.00000000009294
0.25,2.5641025641025643,300.00000000000034
0.29166666666666663,2.5641025641025643,300.00000000000006
0.3333333333333333,2.5641025641025643,300.00000000000006
0.375,2.5641025641025643,300.00000000000006
0.41666666666666663,2.5641025641025643,300.00000000000006
0.4583333333333333,2.5641025641025643,300.0
0.5,2.5641025641025643,300.0
0.5416666666666666,2.5641025641025643,300.0
0.5833333333333333,2.5641025641025643,300.0
0.625,2.5641025641025643,300.0
0.6666666666666666,2.5641025641025643,300.0
0.7083333333333333,2.5641025641025643,300.0
0.75,2.5641025641025643,300.0
0.7916666666666666,2.5641025641025643,300.0
0.8333333333333333,2.5641025641025643,300.0
0.875,2.5641025641025643,300.00000000000006
0.9166666666666666,2.5641025641025643,299.99999999999994
0.9583333333333333,2.5641025641025643,300.00000000000006
1.0,2.5641025641025643,300.0
0.0,5.128205128205129,500.0
0.041666666666666664,5.128205128205129,302.3643098165535
0.08333333333333333,5.128205128205129,300.01405824516877
0.125,5.128205128205129,300.00006269300735
0.16666666666666666,5.128205128205129,300.0000002485162
0.20833333333333331,5.128205128205129,300.0000000009236
0.25,5.128205128205129,300.00000000000335
0.29166666666666663,5.128205128205129,300.0000000000001
0.3333333333333333,5.128205128205129,300.0000000000001
0.375,5.128205128205129,300.0000000000001
0.41666666666666663,5.128205128205129,300.0000000000001
0.4583333333333333,5.128205128205129,300.0
0.5,5.128205128205129,300.0
0.5416666666666666,5.128205128205129,300.0
0.5833333333333333,5.128205128205129,300.0
0.625,5.128205128205129,300.0
0.6666666666666666,5.128205128205129,300.0
0.7083333333333333,5.128205128205129,300.0
0.75,5.128205128205129,300.0
0.7916666666666666,5.128205128205129,300.0
0.8333333333333333,5.128205128205129,300.0
0.875,5.128205128205129,300.0000000000001
0.9166666666666666,5.128205128205129,299.9999999999999
0.9583333333333333,5.128205128205129,300.0000000000001
1.0,5.128205128205129,300.0
0.0,7.692307692307693,500.0
0.041666666666666664,7.692307692307693,303.5255232078837
0.08333333333333333,7.692307692307693,300.03140222996683
0.125,7.692307692307693,300.000197104596
0.16666666666666666,7.692307692307693,300.0000010179523
0.20833333333333331,7.692307692307693,300.0000000046779
0.25,7.692307692307693,300.00000000002
0.29166666666666663,7.692307692307693,300.0000000000002
0.3333333333333333,7.692307692307693,300.00000000000017
0.375,7.692307692307693,300.00000000000017
0.41666666666666663,7.692307692307693,300.00000000000017
0.4583333333333333,7.692307692307693,300.0
0.5,7.692307692307693,300.0
0.5416666666666666,7.692307692307693,300.0
0.5833333333333333,7.692307692307693,300.0
0.625,7.692307692307693,300.0
0.6666666666666666,7.692307692307693,300.0
0.7083333333333333,7.692307692307693,300.0
0.75,7.692307692307693,300.0
0.7916666666666666,7.692307692307693,300.0
0.8333333333333333,7.692307692307693,300.0
0.875,7.692307692307693,300.00000000000017
0.9166666666666666,7.692307692307693,299.99999999999983
0.9583333333333333,7.692307692307693,300.00000000000017
1.0,7.692307692307693,300.0
0.0,10.256410256410257,500.0
0.041666666666666664,10.256410256410257,304.6730504369228
0.08333333333333333,10.256410256410257,300.055404974986
0.125,10.256410256410257,300.000452849023
0.16666666666666666,10.256410256410257,300.0000029382126
0.20833333333333331,10.256410256410257,300.0000000163842
0.25,10.256410256410257,300.00000000008237
0.29166666666666663,10.256410256410257,300.00000000000057
0.3333333333333333,10.256410256410257,300.0000000000002
0.375,10.256410256410257,300.0000000000002
0.41666666666666663,10.256410256410257,300.0000000000002
0.4583333333333333,10.256410256410257,300.0
0.5,10.256410256410257,300.0
0.5416666666666666,10.256410256410257,300.0
0.5833333333333333,10.256410256410257,300.0
0.625,10.256410256410257,300.0
0.6666666666666666,10.256410256410257,300.0
0.7083333333333333,10.256410256410257,300.0
0.75,10.256410256410257,300.0
0.7916666666666666,10.256410256410257,300.0
0.8333333333333333,10.256410256410257,300.0
0.875,10.256410256410257,300.0000000000002
0.9166666666666666,10.256410256410257,299.9999999999998
0.9583333333333333,10.256410256410257,300.0000000000002
1.0,10.256410256410257,300.0
0.0,12.820512820512821,500.0
0.041666666666666664,12.820512820512821,305.8070933784719
0.08333333333333333,12.820512820512821,300.0859073507271
0.125,12.820512820512821,300.0008676123999
0.16666666666666666,12.820512820512821,300.00000682916834
0.20833333333333331,12.820512820512821,300.0000000452287
0.25,12.820512820512821,300.00000000026455
0.29166666666666663,12.820512820512821,300.00000000000165
0.3333333333333333,12.820512820512821,300.0000000000003
0.375,12.820512820512821,300.0000000000003
0.41666666666666663,12.820512820512821,300.0000000000003
0.4583333333333333,12.820512820512821,300.0
0.5,12.820512820512821,300.0
0.5416666666666666,12.820512820512821,300.0
0.5833333333333333,12.820512820512821,300.0
0.625,12.820512820512821,300.0
0.6666666666666666,12.820512820512821,300.0
0.7083333333333333,12.820512820512821,300.0
0.75,12.820512820512821,300.0
0.7916666666666666,12.820512820512821,300.0
0.8333333333333333,12.820512820512821,300.0
0.875,12.820512820512821,300.0000000000003
0.9166666666666666,12.820512820512821,299.9999999999997
0.9583333333333333,12.820512820512821,300.0000000000003
1.0,12.820512820512821,300.0
0.0,15.384615384615387,500.0
0.041666666666666664,15.384615384615387,306.92785057028766
0.08333333333333333,15.384615384615387,300.122753530452
0.125,15.384615384615387,300.00147770181655
0.16666666666666666,15.384615384615387,300.00001372099206
0.20833333333333331,15.384615384615387,300.0000001057891
0.25,15.384615384615387,300.00000000071043
0.29166666666666663,15.384615384615387,300.0000000000045
0.3333333333333333,15.384615384615387,300.00000000000034
0.375,15.384615384615387,300.00000000000034
0.41666666666666663,15.384615384615387,300.00000000000034
0.4583333333333333,15.384615384615387,300.0
0.5,15.384615384615387,300.0
0.5416666666666666,15.384615384615387,300.0
0.5833333333333333,15.384615384615387,300.0
0.625,15.384615384615387,300.0
0.6666666666666666,15.384615384615387,300.0
0.7083333333333333,15.384615384615387,300.0
0.75,15.384615384615387,300.0
0.7916666666666666,15.384615384615387,300.0
0.8333333333333333,15.384615384615387,300.0
0.875,15.384615384615387,300.00000000000034
0.9166666666666666,15.384615384615387,299.99999999999966
0.9583333333333333,15.384615384615387,300.00000000000034
1.0,15.384615384615387,300.0
0.0,17.94871794871795,500.0
0.041666666666666664,17.94871794871795,308.0355172722049
0.08333333333333333,17.94871794871795,300.1657909231515
0.125,17.94871794871795,300.0023180823987
0.16666666666666666,17.94871794871795,300.00002484360306
0.20833333333333331,17.94871794871795,300.00000021919027
0.25,17.94871794871795,300.0000000016682
0.29166666666666663,17.94871794871795,300.0000000000116
0.3333333333333333,17.94871794871795,300.0000000000004
0.375,17.94871794871795,300.0000000000004
0.41666666666666663,17.94871794871795,300.0000000000004
0.4583333333333333,17.94871794871795,300.0
0.5,17.94871794871795,300.0
0.5416666666666666,17.94871794871795,300.0
0.5833333333333333,17.94871794871795,300.0
0.625,17.94871794871795,300.0
0.6666666666666666,17.94871794871795,300.0
0.7083333333333333,17.94871794871795,300.0
0.75,17.94871794871795,300.0
0.7916666666666666,17.94871794871795,300.0
0.8333333333333333,17.94871794871795,300.0
0.875,17.94871794871795,300.0000000000004
0.9166666666666666,17.94871794871795,299.9999999999996
0.9583333333333333,17.94871794871795,300.0000000000004
1.0,17.94871794871795,300.0
0.0,20.512820512820515,500.0
0.041666666666666664,20.512820512820515,309.13028552416193
0.08333333333333333,20.512820512820515,300.21487010787683
0.125,20.512820512820515,300.0034224134676
0.16666666666666666,20.512820512820515,300.0000416164624
0.20833333333333331,20.512820512820515,300.0000004141841
0.25,20.512820512820515,300.00000000353157
0.29166666666666663,20.512820512820515,300.00000000002694
0.3333333333333333,20.512820512820515,300.00000000000057
0.375,20.512820512820515,300.00000000000045
0.41666666666666663,20.512820512820515,300.00000000000045
0.4583333333333333,20.512820512820515,300.0
0.5,20.512820512820515,300.0
0.5416666666666666,20.512820512820515,300.0
0.5833333333333333,20.512820512820515,300.0
0.625,20.512820512820515,300.0
0.6666666666666666,20.512820512820515,300.0
0.7083333333333333,20.512820512820515,300.0
0.75,20.512820512820515,300.0
0.7916666666666666,20.512820512820515,300.0
0.8333333333333333,20.512820512820515,300.0
0.875,20.512820512820515,300.00000000000045
0.9166666666666666,20.512820512820515,299.99999999999955
0.9583333333333333,20.512820512820515,300.00000000000045
1.0,20.512820512820515,300.0
0.0,23.07692307692308,500.0
0.041666666666666664,23.07692307692308,310.21234420314914
0.08333333333333333,23.07692307692308,300.26984476940567
