simulation_id,material,time_s,x_m,y_m,temperature_K
Simulation_000001,Inconel 718,54.40857251662503,0.0,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0067896545993893,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0135793091987786,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.020368963798168,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0271586183975573,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0339482729969466,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.040737927596336,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0475275821957253,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0543172367951146,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.061106891394504,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0678965459938933,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0746862005932826,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.081475855192672,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0882655097920613,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0950551643914506,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.10184481899084,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1086344735902293,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1154241281896186,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.122213782789008,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1290034373883973,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1357930919877866,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.142582746587176,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1493724011865653,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1561620557859546,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.162951710385344,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1697413649847333,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1765310195841226,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.183320674183512,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1901103287829013,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1968999833822906,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.20368963798168,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2104792925810693,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2172689471804586,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.224058601779848,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2308482563792373,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2376379109786266,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.244427565578016,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2512172201774053,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2580068747767947,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.264796529376184,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2715861839755733,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2783758385749627,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.285165493174352,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2919551477737413,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2987448023731306,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.30553445697252,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3123241115719093,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3191137661712986,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.325903420770688,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3326930753700773,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3394827299694666,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.346272384568856,0.0,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3530620391682453,0.0,354.3232402559724
Simulation_000001,Inconel 718,54.40857251662503,0.3598516937676346,0.0,354.32322838736405
Simulation_000001,Inconel 718,54.40857251662503,0.366641348367024,0.0,354.3230839331114
Simulation_000001,Inconel 718,54.40857251662503,0.3734310029664133,0.0,354.321939868884
Simulation_000001,Inconel 718,54.40857251662503,0.3802206575658026,0.0,354.315318457646
Simulation_000001,Inconel 718,54.40857251662503,0.387010312165192,0.0,354.2855006813864
Simulation_000001,Inconel 718,54.40857251662503,0.3937999667645813,0.0,354.17687382714314
Simulation_000001,Inconel 718,54.40857251662503,0.4005896213639706,0.0,353.8482390741989
Simulation_000001,Inconel 718,54.40857251662503,0.40737927596336,0.0,353.00713428232194
Simulation_000001,Inconel 718,54.40857251662503,0.4141689305627493,0.0,351.161204888445
Simulation_000001,Inconel 718,54.40857251662503,0.4209585851621387,0.0,347.6524183815488
Simulation_000001,Inconel 718,54.40857251662503,0.427748239761528,0.0,341.83266858456574
Simulation_000001,Inconel 718,54.40857251662503,0.4345378943609173,0.0,333.3639394436892
Simulation_000001,Inconel 718,54.40857251662503,0.4413275489603067,0.0,322.51082409383616
Simulation_000001,Inconel 718,54.40857251662503,0.448117203559696,0.0,310.2317310603737
Simulation_000001,Inconel 718,54.40857251662503,0.0,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0067896545993893,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0135793091987786,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.020368963798168,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0271586183975573,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0339482729969466,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.040737927596336,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0475275821957253,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0543172367951146,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.061106891394504,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0678965459938933,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0746862005932826,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.081475855192672,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0882655097920613,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.0950551643914506,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.10184481899084,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1086344735902293,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1154241281896186,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.122213782789008,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1290034373883973,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1357930919877866,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.142582746587176,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1493724011865653,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1561620557859546,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.162951710385344,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1697413649847333,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1765310195841226,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.183320674183512,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1901103287829013,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.1968999833822906,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.20368963798168,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2104792925810693,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2172689471804586,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.224058601779848,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2308482563792373,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2376379109786266,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.244427565578016,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2512172201774053,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2580068747767947,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.264796529376184,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2715861839755733,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2783758385749627,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.285165493174352,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2919551477737413,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.2987448023731306,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.30553445697252,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3123241115719093,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3191137661712986,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.325903420770688,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3326930753700773,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3394827299694666,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.346272384568856,0.0084196513412717,354.3232407326994
Simulation_000001,Inconel 718,54.40857251662503,0.3530620391682453,0.0084196513412717,354.3232402559724
Simulation_000001,Inconel 718,54.40857251662503,0.3598516937676346,0.0084196513412717,354.32322838736405
Simulation_000001,Inconel 718,54.40857251662503,0.366641348367024,0.0084196513412717,354.3230839331114
Simulation_000001,Inconel 718,54.40857251662503,0.3734310029664133,0.0084196513412717,354.321939868884
Simulation_000001,Inconel 718,54.40857251662503,0.3802206575658026,0.0084196513412717,354.315318457646
Simulation_000001,Inconel 718,54.40857251662503,0.387010312165192,0.0084196513412717,354.2855006813864
Simulation_000001,Inconel 718,54.40857251662503,0.3937999667645813,0.0084196513412717,354.17687382714314
Simulation_000001,Inconel 718,54.40857251662503,0.4005896213639706,0.0084196513412717,353.8482390741989
Simulation_000001,Inconel 718,54.40857251662503,0.40737927596336,0.0084196513412717,353.00713428232194
Simulation_000001,Inconel 718,54.40857251662503,0.4141689305627493,0.0084196513412717,351.161204888445
Simulation_000001,Inconel 718,54.40857251662503,0.4209585851621387,0.0084196513412717,347.6524183815488
